latitude_longitude right distance added,latitude_longitude left distance added
10.0154853 76.35628510966144,10.0154853 76.35582849033857
10.0154422 76.35599070963112,10.0154422 76.35553409036889
10.0154265 76.35571930962006,10.0154265 76.35526269037994
10.0154007 76.35549760960191,10.0154007 76.3550409903981
10.0154068 76.3554308096062,10.0154068 76.3549741903938
10.0154152 76.35535230961212,10.0154152 76.35489569038789
10.0154067 76.35519760960612,10.0154067 76.35474099039386
10.0153928 76.35511920959635,10.0153928 76.35466259040365
10.0154122 76.35499380961,10.0154122 76.35453719039
10.0154155 76.35495970961233,10.0154155 76.35450309038768
10.0154596 76.35465570964337,10.0154596 76.35419909035664
10.0155579 76.35436010971253,10.0155579 76.35390349028748
10.0157013 76.35413910981345,10.0157013 76.35368249018654
10.0158783 76.35388120993801,10.0158783 76.35342459006199
10.0159884 76.35351511001551,10.0159884 76.3530584899845
10.0160762 76.35309931007728,10.0160762 76.3526426899227
10.0162293 76.35281001018504,10.0162293 76.35235338981497
10.0162496 76.35278931019931,10.0162496 76.35233268980068
10.0164509 76.35264141034101,10.0164509 76.352184789659
10.0166894 76.35244711050886,10.0166894 76.35199048949114
10.0169504 76.35220301069255,10.0169504 76.35174638930745
10.0172282 76.35196901088808,10.0172282 76.3515123891119
10.0173749 76.35179511099135,10.0173749 76.35133848900865
10.0173998 76.35168721100887,10.0173998 76.35123058899113
10.0173327 76.35170221096165,10.0173327 76.35124558903836
10.0174485 76.35160931104315,10.0174485 76.35115268895686
10.0175761 76.35138641113296,10.0175761 76.35092978886705
10.0176189 76.35125331116309,10.0176189 76.35079668883692
10.0176421 76.35117441117941,10.0176421 76.35071778882059
10.0177251 76.35091071123784,10.0177251 76.35045408876215
10.0177521 76.35083611125685,10.0177521 76.35037948874316
10.0178235 76.3506745113071,10.0178235 76.35021788869288
10.0178268 76.35066431130943,10.0178268 76.35020768869057
10.0178835 76.35053571134935,10.0178835 76.35007908865066
10.0179311 76.35044251138284,10.0179311 76.34998588861716
10.0172325 76.45229031089112,10.0172325 76.45183368910888
